asset_id,code,name,category,rationale
f1f44ff3da039ae26709ed636d6d91c4b2b2e34e8ab974bd5ec862e380fd266b,FBX,Farmer Bucks,Game-economy token,Main currency in FarmerVerse
9995f30b83e7d3f3ea0eec7e450dbcade83f76516da79daa9a84a9daafec2329,ALWORK,Abandoned Land - Work,Game-economy token,Abandoned Land game family
fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d,wUSDC.b,Base warp.green USDC,Stablecoin,USDC bridged via warp.green
a628c1c2c6fcb74d53746157e438e108eab5c0bb3e5c80ff9b1910b3e4832913,SBX,Spacebucks,Memecoin,the galactic monetary standard
6d95dae356e32a71db5ddcb42224754a02524c615c5fc35f568c2af04774e589,USDSC,Stably USDS Classic ⚠️,Stablecoin,old Stably USD (depegged)
ae1536f56760e471ad85ead45f00d680ff9cca73b8cc3407be778f1c0c606eac,BYC,Bytecash,Stablecoin,dollar-pegged stablecoin (CDP)
db1a9020d48d9d4ad22631b66ab4b9ebd3637ef7758ad38881348c5d24c38f20,DBX,dexie bucks,Protocol / platform / infra,Platform/Governance Token of dexie
593c68c3f0c2061ea384ff30d9f3bef15039c6d5fbd46b555c73b2e9b490fca5,ALTOOL,Abandoned Land - Tool,Game-economy token,Abandoned Land game family
ccda69ff6c44d687994efdbee30689be51d2347f739287ab4bb7b52344f8bf1d,BEPE,BEPE,Memecoin,Chia memecoin BitTorrent wizard
6daab7bb79093ef60f3b83dc3d9def25e91eae55916da8bf95268eda9ee871ea,ALWOOD,Abandoned Land - Wood,Game-economy token,Abandoned Land game family
ce9dfce94a5a65c0207bf3d57b407db559e9cd34f2050f8bd61291b42bead361,ALFOOD,Abandoned Land - Food,Game-economy token,Abandoned Land game family
dc77ba1f5599fa63c126b8e512573eacd3496b3e4f6712d1252b119f1e6bec2d,FHW,FHW,Game-economy token,Farmer Hours Work on plots
7d176bff0ac2e15fe6e5f57352e7c3a467b476a798dd38f30e39af7ef6cc52b4,ALORE,Abandoned Land - Ore,Game-economy token,Abandoned Land game family
e0005928763a7253a9c443d76837bdfab312382fc47cab85dad00be23ae4e82f,MBX,Moonbucks,Memecoin,Chia to the moon
eaef46c78384488c9b0b1062e96e057ba16b9836c17960731d574b071196bb73,C2R,CAT 2 RESERVE TOKEN,Protocol / platform / infra,reserve token to improve CAT2 trading
e816ee18ce2337c4128449bc539fbbe2ecfdd2098c4e7cab4667e223c3bdc23d,HOA,HOA COIN,Memecoin,spread awareness HOA COIN
79f6313fdb6ba66347a5bcad4af6878ac07bf5fafedeb384c3b350d913c8b6b6,NIOC,NioCoin,Protocol / platform / infra,Proof of Time consensus token
c06ee27f9bd92f751987e9d43b1709ef664e6aee0df63f040d00605826b54a67,XFUEL,XFUEL,Game-economy token,utility token for the tractor
446f5c3532929f71fa82f1c65f7e93170dcfbf8d59baf82a81b6f8e8f85e8a5c,ALGOLD,Abandoned Land - Gold,Game-economy token,Abandoned Land game family
37b231bbdc0002a4fbbb65de0007a9cf1645a292888711968a8abb9a3e40596e,G4M,go4me,Game-economy token,"go4me token economy (claim PFP + earn)"
