month,collection,trades
2023-04,CHIA MONSTER TOWER WARRIOR,11
2023-05,CHIA MONSTER TOWER WARRIOR,10
2023-06,CHIA MONSTER TOWER WARRIOR,1317
2023-07,CHIA MONSTER TOWER WARRIOR,1309
2023-08,CHIA MONSTER TOWER WARRIOR,1494
2023-09,CHIA MONSTER TOWER WARRIOR,1296
2023-10,CHIA MONSTER TOWER WARRIOR,842
2023-11,CHIA MONSTER TOWER WARRIOR,430
2023-12,CHIA MONSTER TOWER WARRIOR,111
2024-01,CHIA MONSTER TOWER WARRIOR,9
2024-02,CHIA MONSTER TOWER WARRIOR,49
2024-03,CHIA MONSTER TOWER WARRIOR,29
2024-04,CHIA MONSTER TOWER WARRIOR,271
2024-05,CHIA MONSTER TOWER WARRIOR,62
2024-06,CHIA MONSTER TOWER WARRIOR,40
2024-07,CHIA MONSTER TOWER WARRIOR,11
2024-08,CHIA MONSTER TOWER WARRIOR,6
2024-09,CHIA MONSTER TOWER WARRIOR,43
2024-10,CHIA MONSTER TOWER WARRIOR,25
2024-11,CHIA MONSTER TOWER WARRIOR,37
2024-12,CHIA MONSTER TOWER WARRIOR,28
2025-01,CHIA MONSTER TOWER WARRIOR,13
2025-02,CHIA MONSTER TOWER WARRIOR,6
2025-03,CHIA MONSTER TOWER WARRIOR,13
2025-04,CHIA MONSTER TOWER WARRIOR,9
2025-05,CHIA MONSTER TOWER WARRIOR,11
2025-06,CHIA MONSTER TOWER WARRIOR,264
2025-07,CHIA MONSTER TOWER WARRIOR,857
2025-08,CHIA MONSTER TOWER WARRIOR,647
2025-09,CHIA MONSTER TOWER WARRIOR,499
2025-10,CHIA MONSTER TOWER WARRIOR,406
2025-11,CHIA MONSTER TOWER WARRIOR,124
2025-12,CHIA MONSTER TOWER WARRIOR,6
2026-01,CHIA MONSTER TOWER WARRIOR,9
2026-02,CHIA MONSTER TOWER WARRIOR,29
2026-03,CHIA MONSTER TOWER WARRIOR,50
2026-04,CHIA MONSTER TOWER WARRIOR,46
2023-07,ChiaPhunks,238
2023-08,ChiaPhunks,349
2023-09,ChiaPhunks,12
2023-10,ChiaPhunks,66
2023-11,ChiaPhunks,518
2023-12,ChiaPhunks,44
2024-01,ChiaPhunks,43
2024-02,ChiaPhunks,505
2024-03,ChiaPhunks,16
2024-04,ChiaPhunks,23
2024-05,ChiaPhunks,4570
2024-06,ChiaPhunks,106
2024-07,ChiaPhunks,29
2024-08,ChiaPhunks,11
2024-09,ChiaPhunks,2
2024-10,ChiaPhunks,1
2024-11,ChiaPhunks,426
2024-12,ChiaPhunks,315
2025-01,ChiaPhunks,104
2025-02,ChiaPhunks,77
2025-03,ChiaPhunks,2000
2025-04,ChiaPhunks,35
2025-05,ChiaPhunks,35
2025-06,ChiaPhunks,40
2025-07,ChiaPhunks,4
2025-08,ChiaPhunks,6
2025-09,ChiaPhunks,55
2025-10,ChiaPhunks,219
2025-11,ChiaPhunks,15
2025-12,ChiaPhunks,9
2026-01,ChiaPhunks,23
2026-02,ChiaPhunks,74
2026-03,ChiaPhunks,2
2026-04,ChiaPhunks,38
2026-05,ChiaPhunks,126
2022-12,Chunks - Chia Punks,834
2023-01,Chunks - Chia Punks,1798
2023-02,Chunks - Chia Punks,1292
2023-03,Chunks - Chia Punks,182
2023-04,Chunks - Chia Punks,130
2023-05,Chunks - Chia Punks,371
2023-06,Chunks - Chia Punks,376
2023-07,Chunks - Chia Punks,225
2023-08,Chunks - Chia Punks,532
2023-09,Chunks - Chia Punks,1906
2023-10,Chunks - Chia Punks,140
2023-11,Chunks - Chia Punks,181
2023-12,Chunks - Chia Punks,34
2024-01,Chunks - Chia Punks,128
2024-02,Chunks - Chia Punks,112
2024-03,Chunks - Chia Punks,145
2024-04,Chunks - Chia Punks,51
2024-05,Chunks - Chia Punks,22
2024-06,Chunks - Chia Punks,64
2024-07,Chunks - Chia Punks,29
2024-08,Chunks - Chia Punks,35
2024-11,Chunks - Chia Punks,26
2024-12,Chunks - Chia Punks,24
2025-01,Chunks - Chia Punks,407
2025-02,Chunks - Chia Punks,25
2025-03,Chunks - Chia Punks,242
2025-04,Chunks - Chia Punks,31
2025-05,Chunks - Chia Punks,75
2025-06,Chunks - Chia Punks,43
2025-07,Chunks - Chia Punks,95
2025-08,Chunks - Chia Punks,4
2025-09,Chunks - Chia Punks,5
2025-10,Chunks - Chia Punks,82
2025-11,Chunks - Chia Punks,116
2025-12,Chunks - Chia Punks,7
2026-01,Chunks - Chia Punks,51
2026-02,Chunks - Chia Punks,47
2026-03,Chunks - Chia Punks,22
2026-04,Chunks - Chia Punks,25
2026-05,Chunks - Chia Punks,188
2024-01,DataLayer Minions,1706
2024-02,DataLayer Minions,133
2024-03,DataLayer Minions,66
2024-04,DataLayer Minions,107
2024-05,DataLayer Minions,97
2024-06,DataLayer Minions,42
2024-07,DataLayer Minions,7
2024-08,DataLayer Minions,6
2024-09,DataLayer Minions,80
2024-10,DataLayer Minions,61
2024-11,DataLayer Minions,23
2024-12,DataLayer Minions,20
2025-01,DataLayer Minions,4
2025-02,DataLayer Minions,17
2025-03,DataLayer Minions,13
2025-04,DataLayer Minions,1
2025-06,DataLayer Minions,851
2025-07,DataLayer Minions,373
2025-08,DataLayer Minions,6243
2025-09,DataLayer Minions,207
2025-10,DataLayer Minions,26
2025-11,DataLayer Minions,7
2025-12,DataLayer Minions,1
2026-01,DataLayer Minions,24
2026-02,DataLayer Minions,16
2026-05,DataLayer Minions,25
2023-06,Farmers of FarmerVerse,144
2023-07,Farmers of FarmerVerse,385
2023-08,Farmers of FarmerVerse,275
2023-09,Farmers of FarmerVerse,112
2023-10,Farmers of FarmerVerse,244
2023-11,Farmers of FarmerVerse,1654
