month,n_sales,med_xch,usd_per_xch,med_usd
2022-06,224,0.5,,
2022-07,6792,0.2,,
2022-08,5561,0.132,,
2022-09,4882,0.2,,
2022-10,4503,0.2,,
2022-11,2955,0.2,,
2022-12,4120,0.1,,
2023-01,6391,0.1,,
2023-02,6306,0.2,,
2023-03,2719,0.2,,
2023-04,1936,0.168,,
2023-05,6314,0.068,,
2023-06,3581,0.208,,
2023-07,2426,0.11,,
2023-08,3862,0.2,,
2023-09,2925,0.1,,
2023-10,1339,0.19,,
2023-11,2479,0.1,,
2023-12,2948,0.05,,
2024-01,4149,0.1,,
2024-02,2524,0.1,,
2024-03,2247,0.1,,
2024-04,1756,0.174,,
2024-05,8643,0.1,31.94,3.194
2024-06,2256,0.2,26.93,5.386
2024-07,2622,0.1,19.932,1.993
2024-08,1434,0.2,15.302,3.06
2024-09,1092,0.3,13.515,4.054
2024-10,879,0.2,13.932,2.786
2024-11,1900,0.33,16.512,5.449
2024-12,2624,0.1,26.85,2.685
2025-01,5166,0.2,22.969,4.594
2025-02,3141,0.2,13.249,2.65
2025-03,11157,0.2,13.271,2.654
2025-04,4800,0.2,11.206,2.241
2025-05,3062,0.333,12.698,4.228
2025-06,5561,0.2,10.493,2.099
2025-07,6686,0.2,10.425,2.085
2025-08,18760,0.1,9.725,0.972
2025-09,8035,0.16,9.762,1.562
2025-10,4083,0.2,7.108,1.422
2025-11,10791,0.2,6.912,1.382
2025-12,6222,0.033,5.369,0.177
2026-01,4551,0.1,4.853,0.485
2026-02,2958,0.211,3.038,0.64
2026-03,2729,0.251,2.827,0.71
2026-04,1276,1.0,2.35,2.35
2026-05,2765,0.5,2.509,1.255
