day,n_trades,usd_per_xch,q25,q75,n_sell,n_buy
2024-05-22,13,31.7,26.9399,33.0,4,9
2024-05-23,39,29.502,28.18,30.4708,19,20
2024-05-24,25,31.2979,31.0,32.0,4,21
2024-05-25,14,31.3995,30.833,31.9792,7,7
2024-05-26,9,31.9008,31.5,32.5,3,6
2024-05-27,25,32.0,31.17,33.0,8,17
2024-05-28,10,32.325,32.0,33.0625,2,8
2024-05-29,7,32.5,31.5344,32.759,1,6
2024-05-30,12,32.471,32.0059,32.6,8,4
2024-05-31,35,32.0,32.0,32.0,0,35
2024-06-01,3,31.061,30.9831,31.2275,1,2
2024-06-02,5,31.15,31.1,31.5724,0,5
2024-06-03,4,31.8457,31.7633,31.9742,1,3
2024-06-04,8,31.764,31.354,33.3555,2,6
2024-06-05,4,31.6955,31.2931,32.071,1,3
2024-06-06,15,33.99,33.0133,34.5462,7,8
2024-06-07,3,32.5685,31.5343,32.9057,1,2
2024-06-08,4,30.375,30.0625,30.8064,1,3
2024-06-09,8,30.902,30.3714,31.8649,3,5
2024-06-10,2,29.13,28.9451,29.315,0,2
2024-06-11,16,29.0,27.865,29.5496,4,12
2024-06-12,10,25.9828,24.8721,26.8539,0,10
2024-06-13,10,27.8411,26.9734,28.526,3,7
2024-06-14,25,27.52,27.32,28.62,8,17
2024-06-15,1,27.2014,27.2014,27.2014,0,1
2024-06-16,8,26.65,26.48,27.1556,2,6
2024-06-17,33,26.7,26.5,26.93,11,22
2024-06-18,26,24.69,24.38,25.0,4,22
2024-06-19,2,25.0,25.0,25.0,0,2
2024-06-20,1,24.29,24.29,24.29,1,0
2024-06-22,14,26.1016,23.792,26.8683,10,4
2024-06-23,10,23.3273,23.2,23.6875,0,10
2024-06-24,8,24.5305,23.7923,30.2635,1,7
2024-06-25,2,25.064,24.3067,25.8212,0,2
2024-06-26,7,23.3918,22.9348,24.0547,0,7
2024-06-27,3,24.0096,23.8738,24.1794,0,3
2024-06-30,3,26.0529,25.0385,26.1449,1,2
2024-07-01,1,22.4978,22.4978,22.4978,0,1
2024-07-02,1,22.6364,22.6364,22.6364,0,1
2024-07-04,7,21.7391,21.7391,21.8926,0,7
2024-07-05,11,20.0,19.0052,20.8121,0,11
2024-07-06,2,20.273,20.1365,20.4095,0,2
2024-07-07,1,19.084,19.084,19.084,0,1
2024-07-08,2,18.1693,18.154,18.1847,0,2
2024-07-09,2,20.9684,20.024,21.9128,0,2
2024-07-10,3,20.0861,19.4181,23.0386,0,3
2024-07-11,1,20.1338,20.1338,20.1338,0,1
2024-07-14,4,22.348,21.5461,22.929,2,2
2024-07-15,2,20.4891,20.1797,20.7986,0,2
2024-07-19,1,20.3041,20.3041,20.3041,1,0
2024-07-23,2,19.5389,19.3944,19.6833,0,2
2024-07-24,5,22.3461,20.7814,23.4154,5,0
2024-07-25,1,18.3768,18.3768,18.3768,1,0
2024-07-26,6,19.221,19.1728,19.6316,0,6
2024-07-27,2,19.486,19.481,19.491,0,2
2024-07-28,3,18.0859,17.6139,18.4464,3,0
2024-07-29,1,17.5377,17.5377,17.5377,0,1
2024-07-31,4,17.3517,17.0833,17.9437,3,1
2024-08-01,7,18.018,16.67,18.4661,3,4
2024-08-02,6,15.9323,15.244,17.2707,4,2
