week,n_trades,usd_per_xch,q25,q75,ask_sell,bid_buy,n_sell,n_buy
2024-05-20,100,31.0182,29.1533,31.9375,30.387,31.4842,37,63
2024-05-27,97,32.0,31.5998,32.47,32.486,32.0,20,77
2024-06-03,46,31.9437,31.1951,33.2402,32.7943,31.8225,16,30
2024-06-10,72,27.5,26.8275,28.8175,28.4674,27.2147,17,55
2024-06-17,86,25.6763,24.4475,26.7075,26.685,25.0,26,60
2024-06-24,23,24.0096,23.6438,25.7359,28.0096,24.0,2,21
2024-07-01,23,21.4221,19.7515,21.7391,,21.4221,0,23
2024-07-08,12,20.11,18.9973,22.5143,23.406,19.6912,2,10
2024-07-15,3,20.3041,20.0872,20.7061,20.3041,20.4891,1,2
2024-07-22,19,19.476,19.1465,19.9103,19.5291,19.363,9,10
2024-07-29,41,16.709,16.25,17.2716,16.4253,16.791,16,25
2024-08-05,54,15.345,15.0541,15.7785,15.345,15.3283,36,18
2024-08-12,38,14.6573,14.1524,14.9739,14.7074,14.596,19,19
2024-08-19,35,16.043,15.5943,16.8319,16.043,16.035,17,18
2024-08-26,80,14.1205,13.7143,15.0928,14.4,13.8942,48,32
2024-09-02,86,13.3246,13.1582,13.5092,13.3713,13.2746,44,42
2024-09-09,51,13.3333,13.271,13.451,13.3198,13.3754,37,14
2024-09-16,224,13.4804,13.1377,13.921,13.5794,13.1203,148,76
2024-09-23,72,15.246,14.8855,15.5325,15.1374,15.25,32,40
2024-09-30,231,13.3904,12.9543,14.886,13.3075,13.3904,143,88
2024-10-07,57,16.1946,15.5887,16.7026,16.2458,16.075,32,25
2024-10-14,28,15.3114,15.0888,15.7161,15.1868,15.4015,16,12
2024-10-21,107,13.9678,13.6925,14.1927,13.9317,14.0263,73,34
2024-10-28,189,13.2977,12.9194,13.8211,13.4653,13.11,102,87
2024-11-04,139,13.4366,12.6993,14.1932,13.301,13.4381,71,68
2024-11-11,202,14.6136,14.2424,15.2857,14.5525,14.6831,130,72
