mo,n,v1,v2,pct_v2
2022-01,702,702,0,0.0
2022-02,534,534,0,0.0
2022-03,777,777,0,0.0
2022-04,847,847,0,0.0
2022-05,1129,1129,0,0.0
2022-06,1544,1544,0,0.0
2022-07,9479,9479,0,0.0
2022-08,8070,8070,0,0.0
2022-09,9512,9512,0,0.0
2022-10,15173,15173,0,0.0
2022-11,12790,12790,0,0.0
2022-12,12065,12065,0,0.0
2023-01,18069,18069,0,0.0
2023-02,14225,12187,2038,14.3
2023-03,17117,1832,15285,89.3
2023-04,10166,742,9424,92.7
2023-05,13642,4516,9126,66.9
2023-06,24702,889,23813,96.4
2023-07,13704,407,13297,97.0
2023-08,16228,406,15822,97.5
2023-09,12871,0,12871,100.0
2023-10,20190,0,20190,100.0
2023-11,19333,0,19333,100.0
2023-12,10837,0,10837,100.0
2024-01,12622,0,12622,100.0
2024-02,15390,0,15390,100.0
2024-03,16607,0,16607,100.0
2024-04,14653,0,14653,100.0
2024-05,22555,0,22555,100.0
2024-06,13787,0,13787,100.0
2024-07,12415,0,12415,100.0
2024-08,7451,0,7451,100.0
2024-09,6503,0,6503,100.0
2024-10,9867,0,9867,100.0
2024-11,14672,0,14672,100.0
2024-12,13937,0,13937,100.0
2025-01,16906,0,16906,100.0
2025-02,15023,0,15023,100.0
2025-03,22530,0,22530,100.0
2025-04,13945,0,13945,100.0
2025-05,18133,0,18133,100.0
2025-06,30946,0,30946,100.0
2025-07,28799,0,28799,100.0
2025-08,38945,0,38945,100.0
2025-09,34356,0,34356,100.0
2025-10,28959,0,28959,100.0
2025-11,26256,0,26256,100.0
2025-12,16940,0,16940,100.0
2026-01,24778,0,24778,100.0
2026-02,19085,0,19085,100.0
2026-03,26435,0,26435,100.0
2026-04,24257,0,24257,100.0
2026-05,22687,0,22687,100.0
