ym,legs,med_bps,mean_bps,pct_zero_royalty
2022-06,227,500.0,533.3,0.0
2022-07,7817,500.0,466.2,0.22
2022-08,6219,500.0,571.7,0.1
2022-09,7202,750.0,704.1,0.1
2022-10,5118,600.0,646.7,0.04
2022-11,4748,500.0,549.4,1.58
2022-12,6575,400.0,397.3,12.87
2023-01,7835,400.0,457.7,23.7
2023-02,8243,500.0,454.3,15.83
2023-03,11115,500.0,1181.0,1.93
2023-04,5220,500.0,761.7,2.82
2023-05,8919,500.0,551.3,4.66
2023-06,19929,200.0,253.0,40.71
2023-07,8890,500.0,450.1,6.92
2023-08,10172,500.0,460.7,5.69
2023-09,7719,500.0,401.9,25.99
2023-10,7744,500.0,464.1,2.41
2023-11,8693,200.0,396.7,4.56
2023-12,4971,300.0,431.2,21.63
2024-01,6658,500.0,417.8,19.57
2024-02,8679,500.0,579.0,6.59
2024-03,6052,500.0,478.5,9.86
2024-04,6489,500.0,1034.1,6.23
2024-05,11316,300.0,755.0,1.47
2024-06,4354,500.0,931.5,8.77
2024-07,4550,300.0,767.8,4.37
2024-08,2222,500.0,595.8,5.85
2024-09,1827,500.0,654.4,13.19
2024-10,3248,500.0,480.9,8.0
2024-11,3229,460.0,687.3,7.15
2024-12,3773,500.0,523.3,4.59
2025-01,6374,500.0,648.2,7.97
2025-02,3998,500.0,656.6,3.05
2025-03,12128,500.0,619.4,2.58
2025-04,5957,500.0,719.5,4.18
2025-05,5908,500.0,642.8,3.52
2025-06,8589,500.0,696.8,2.67
2025-07,12032,500.0,697.0,2.47
2025-08,24382,1000.0,974.7,0.5
2025-09,21545,1000.0,922.1,2.31
2025-10,10217,1000.0,870.7,9.63
2025-11,15060,500.0,1113.7,1.82
2025-12,7289,500.0,1019.9,2.95
2026-01,5393,1000.0,1293.2,5.73
2026-02,3414,1200.0,1987.2,3.08
2026-03,3523,700.0,1106.0,3.6
2026-04,1534,1000.0,1043.7,2.15
2026-05,3206,500.0,993.3,6.02
