month,n,pct_date_expiry,pct_block_expiry,pct_any_expiry
2022-01,702,0.0,0.0,0.0
2022-02,534,0.0,0.0,0.0
2022-03,777,0.0,0.0,0.0
2022-04,847,0.0,0.0,0.0
2022-05,1129,0.0,0.0,0.0
2022-06,1544,0.0,0.0,0.0
2022-07,9479,0.0,0.0,0.0
2022-08,8070,0.0,0.0,0.0
2022-09,9512,0.0,0.0,0.0
2022-10,15173,0.0,0.0,0.0
2022-11,12790,0.0,0.0,0.0
2022-12,12065,0.0,0.0,0.0
2023-01,18069,0.0,0.0,0.0
2023-02,14225,0.0,0.0,0.0
2023-03,17117,0.0,0.0,0.0
2023-04,10166,0.0,0.0,0.0
2023-05,13642,0.0,0.0,0.0
2023-06,24702,0.0,0.0,0.0
2023-07,13704,0.0,0.0,0.0
2023-08,16228,0.0,0.0,0.0
2023-09,12871,0.008,0.0,0.008
2023-10,20190,4.245,0.0,4.245
2023-11,19333,8.012,0.01,8.023
2023-12,10837,12.18,0.0,12.18
2024-01,12622,4.682,0.0,4.682
2024-02,15390,5.263,0.0,5.263
2024-03,16607,5.166,0.0,5.166
2024-04,14653,7.848,0.0,7.848
2024-05,22555,4.465,0.031,4.496
2024-06,13787,5.143,0.435,5.578
2024-07,12415,6.911,0.064,6.975
2024-08,7451,8.697,0.886,9.583
2024-09,6503,3.814,0.308,4.121
2024-10,9867,2.605,0.233,2.838
2024-11,14672,4.457,1.833,6.291
2024-12,13937,4.621,0.811,5.432
2025-01,16906,4.117,0.668,4.785
2025-02,15023,3.348,1.444,4.793
2025-03,22530,3.009,1.891,4.9
2025-04,13945,2.252,2.245,4.496
2025-05,18133,3.177,2.283,5.46
2025-06,30946,2.178,2.003,4.181
2025-07,28799,2.135,1.531,3.667
2025-08,38945,24.843,1.343,26.186
2025-09,34356,42.007,0.873,42.88
2025-10,28959,21.565,1.216,22.78
2025-11,26256,14.458,0.408,14.865
2025-12,16940,4.032,0.331,4.362
2026-01,24778,2.535,0.379,2.914
2026-02,19085,6.13,0.309,6.44
2026-03,26435,8.303,0.17,8.474
2026-04,24257,12.042,0.33,12.372
2026-05,22687,15.701,0.335,16.036
