month,offers,has_cost,pct_coverage
2022-01,702,0,0.0
2022-02,534,0,0.0
2022-03,777,0,0.0
2022-04,847,0,0.0
2022-05,1129,0,0.0
2022-06,1544,0,0.0
2022-07,9479,0,0.0
2022-08,8070,0,0.0
2022-09,9512,0,0.0
2022-10,15173,7426,48.9
2022-11,12790,12644,98.9
2022-12,12065,11984,99.3
2023-01,18069,17720,98.1
2023-02,14225,12642,88.9
2023-03,17117,17031,99.5
2023-04,10166,10103,99.4
2023-05,13642,12474,91.4
2023-06,24702,22446,90.9
2023-07,13704,12980,94.7
2023-08,16228,15657,96.5
2023-09,12871,12429,96.6
2023-10,20190,19586,97.0
2023-11,19333,18594,96.2
2023-12,10837,10299,95.0
2024-01,12622,12002,95.1
2024-02,15390,15016,97.6
2024-03,16607,16227,97.7
2024-04,14653,14240,97.2
2024-05,22555,21987,97.5
2024-06,13787,13254,96.1
2024-07,12415,12129,97.7
2024-08,7451,7284,97.8
2024-09,6503,6323,97.2
2024-10,9867,9656,97.9
2024-11,14672,14464,98.6
2024-12,13937,13781,98.9
2025-01,16906,16741,99.0
2025-02,15023,14881,99.1
2025-03,22530,22455,99.7
2025-04,13945,13931,99.9
2025-05,18133,18101,99.8
2025-06,30946,30890,99.8
2025-07,28799,28730,99.8
2025-08,38945,38910,99.9
2025-09,34356,34300,99.8
2025-10,28959,28924,99.9
2025-11,26256,26105,99.4
2025-12,16940,16884,99.7
2026-01,24778,24769,100.0
2026-02,19085,19072,99.9
2026-03,26435,26153,98.9
2026-04,24257,24215,99.8
2026-05,22687,22273,98.2
