code,ym,n_amm,n_p2p,amm_rel_iqr,p2p_rel_iqr,amm_tighter
BEPE,2025-04,437,42,0.29045,0.22318,false
DBX,2025-04,151,25,0.05792,0.07836,true
HOA,2025-04,665,54,0.40556,0.06153,false
MBX,2025-04,205,174,0.14999,0.16402,true
MIO,2025-04,16,15,0.07451,0.1414,true
MZ,2025-04,65,39,0.12292,0.08726,false
NIOC,2025-04,78,10,0.05844,0.23869,true
OEN,2025-04,16,169,0.0,0.0,false
OXC,2025-04,49,18,0.08747,0.85754,true
PEPE,2025-04,100,43,0.13373,0.13172,false
PP,2025-04,104,13,0.02757,0.16373,true
SBX,2025-04,231,79,0.07116,0.12948,true
WARP,2025-04,49,10,0.04999,0.30483,true
WLBF42,2025-04,47,48,0.04358,0.67978,true
wUSDC.b,2025-04,331,248,0.08868,0.06084,false
wmilliETH,2025-04,45,18,0.08219,0.31607,true
🍕,2025-04,106,12,0.17946,0.08531,false
🐈,2025-04,108,20,0.59988,0.99615,true
$DUMB,2025-05,165,52,0.3573,0.98215,true
BEPE,2025-05,1364,144,0.55389,0.59206,true
CC,2025-05,94,29,0.83899,1.35351,true
CH21,2025-05,11,12,0.10551,0.18728,true
DBX,2025-05,182,27,0.03246,0.03702,true
HOA,2025-05,348,38,0.23036,0.28886,true
MBX,2025-05,82,118,0.09581,0.09437,false
MZ,2025-05,58,30,0.11845,0.12314,true
OEN,2025-05,58,1522,0.0,0.0,false
PEPE,2025-05,85,17,0.04591,0.05469,true
SBX,2025-05,394,95,0.12886,0.07071,false
wUSDC,2025-05,34,33,0.14421,0.04076,false
wUSDC.b,2025-05,532,380,0.09943,0.08265,false
$HOLES,2025-06,119,16,0.25343,0.32171,true
$TVL,2025-06,118,32,0.43833,2.39372,true
BEPE,2025-06,2590,153,0.62534,0.36506,false
CH21,2025-06,22,38,0.24916,0.3751,true
CHAD,2025-06,993,21,0.5162,0.45908,false
CNUT,2025-06,44,24,0.3802,0.43088,true
DBX,2025-06,193,23,0.05477,0.07044,true
GRC,2025-06,422,75,0.57928,0.32521,false
MBX,2025-06,88,78,0.23925,0.14749,false
MWIF,2025-06,60,14,0.89745,0.69201,false
MZ,2025-06,85,15,0.53467,0.17072,false
ROSS,2025-06,100,84,0.12739,0.0,false
SBX,2025-06,489,120,0.09174,0.18208,true
STNK,2025-06,166,12,0.37183,0.27273,false
XHAY,2025-06,13,13,0.24271,0.67984,true
XSEED,2025-06,14,13,0.02366,1.35392,true
wUSDC,2025-06,24,10,0.25295,0.05301,false
wUSDC.b,2025-06,746,462,0.09104,0.07661,false
¢ni,2025-06,802,31,3.53961,0.11393,false
$MMM,2025-07,174,52,0.20511,0.82471,true
BBT,2025-07,336,300,0.10319,0.03194,false
BEPE,2025-07,1267,123,0.1347,0.15518,true
CH21,2025-07,15,17,0.32541,0.29369,false
DBX,2025-07,149,83,0.06059,0.03143,false
DUNK,2025-07,24,42,0.09309,0.33528,true
GYATT,2025-07,139,70,0.2214,1.28546,true
HOA,2025-07,390,32,0.11612,0.03762,false
HonK,2025-07,275,89,0.13744,0.06348,false
MFM,2025-07,58,201,0.56779,2.25,true
MZ,2025-07,59,36,0.15197,0.10292,false
NBR,2025-07,39,19,0.02363,0.01511,false
NeckCoin,2025-07,633,909,1.53764,0.04795,false
OEN,2025-07,14,21,0.0,0.0,false
PEPE,2025-07,169,38,0.06501,0.06572,true
SBX,2025-07,433,90,0.1902,0.27233,true
USA,2025-07,110,21,0.30643,0.0,false
WARP,2025-07,188,19,0.14047,0.08075,false
wUSDC,2025-07,212,191,0.1354,0.11516,false
wUSDC.b,2025-07,866,1159,0.05391,0.06205,true
wUSDT,2025-07,95,16,0.10395,0.0434,false
🐚,2025-07,56,17,1.22681,0.96594,false
$MMC,2025-08,28,17,0.07422,0.20859,true
BEPE,2025-08,631,95,0.08437,0.09136,true
BLOOM,2025-08,40,46,0.17479,0.68195,true
CTK,2025-08,39,13,0.88461,0.0,false
DBX,2025-08,435,204,0.0706,0.06867,false
DIG,2025-08,264,23,0.5234,0.92984,true
G$b,2025-08,46,65,0.30559,0.01181,false
G4M,2025-08,605,37,0.07421,0.41202,true
HOA,2025-08,295,63,0.08573,0.05824,false
MAFFF,2025-08,60,14,0.63161,0.85877,true
MBX,2025-08,702,82,0.19655,0.07687,false
MJO,2025-08,19,1635,0.02373,0.0001,false
MZ,2025-08,67,70,0.17253,0.06934,false
PEPE,2025-08,170,16,0.5844,0.02447,false
SBX,2025-08,364,143,0.08656,0.08282,false
wUSDC,2025-08,48,68,0.09114,0.03837,false
wUSDC.b,2025-08,562,473,0.05978,0.04416,false
🍆,2025-08,11,28,0.02985,0.42478,true
🍕,2025-08,315,117,0.18515,0.10486,false
🐠,2025-08,37,26,0.26283,1.53652,true
🦀,2025-08,57,33,0.44094,0.20068,false
🦐,2025-08,119,17,0.50264,0.25796,false
🪼,2025-08,38,28,0.34244,0.47657,true
BEPE,2025-09,434,24,0.08967,0.08027,false
DBX,2025-09,104,54,0.06185,0.05402,false
DIG,2025-09,369,48,1.55308,1.1634,false
G4M,2025-09,1002,21,4.89475,0.045,false
HOA,2025-09,151,27,0.27229,0.07129,false
MBX,2025-09,696,85,0.22089,0.24415,true
MJO,2025-09,11,937,0.15819,0.0001,false
MZ,2025-09,118,30,0.17308,0.0429,false
NIOC,2025-09,1038,16,0.02436,0.03673,true
