ym,usdsc_legs,warp_legs
2022-01,266,0
2022-02,297,0
2022-03,489,0
2022-04,432,0
2022-05,750,0
2022-06,768,0
2022-07,788,0
2022-08,557,0
2022-09,846,0
2022-10,1211,0
2022-11,1282,0
2022-12,785,0
2023-01,3749,0
2023-02,1858,0
2023-03,1574,0
2023-04,870,0
2023-05,982,0
2023-06,1345,0
2023-07,312,0
2023-08,236,0
2023-09,125,0
2023-10,336,0
2023-11,116,0
2023-12,59,0
2024-01,72,0
2024-02,73,0
2024-03,82,0
2024-04,8,0
2024-05,62,261
2024-06,20,293
2024-07,131,101
2024-08,72,336
2024-09,184,513
2024-10,20,597
2024-11,43,1521
2024-12,37,774
2025-01,18,1134
2025-02,3,987
2025-03,0,923
2025-04,29,711
2025-05,2,1240
2025-06,5,1552
2025-07,15,4047
2025-08,1,1272
2025-09,0,776
2025-10,0,918
2025-11,0,413
2025-12,0,296
2026-01,7,4260
2026-02,1,1619
2026-03,2,1505
2026-04,1,2452
2026-05,2,1159
