month,offers,pct_combined
2022-01,702,0.0
2022-02,534,0.0
2022-03,777,0.0
2022-04,847,0.0
2022-05,1129,0.0
2022-06,1544,0.0
2022-07,9479,0.0
2022-08,8070,0.0
2022-09,9512,0.0
2022-10,15173,0.0
2022-11,12790,0.0
2022-12,12065,0.0
2023-01,18069,0.0
2023-02,14225,0.0
2023-03,17117,0.0
2023-04,10166,0.0
2023-05,13642,0.0
2023-06,24702,0.0
2023-07,13704,0.0
2023-08,16228,0.0
2023-09,12871,0.0
2023-10,20190,0.0
2023-11,19333,0.0
2023-12,10837,0.0
2024-01,12622,0.0
2024-02,15390,0.0
2024-03,16607,22.1
2024-04,14653,23.0
2024-05,22555,13.4
2024-06,13787,18.6
2024-07,12415,19.3
2024-08,7451,25.0
2024-09,6503,27.2
2024-10,9867,22.7
2024-11,14672,30.1
2024-12,13937,25.2
2025-01,16906,23.2
2025-02,15023,33.6
2025-03,22530,20.1
2025-04,13945,21.1
2025-05,18133,27.8
2025-06,30946,27.7
2025-07,28799,23.7
2025-08,38945,14.6
2025-09,34356,20.2
2025-10,28959,44.5
2025-11,26256,23.9
2025-12,16940,33.7
2026-01,24778,51.0
2026-02,19085,44.7
2026-03,26435,56.5
2026-04,24257,47.6
2026-05,22687,44.3
