month,offers,offers_per_sec
2022-01,702,0.00026
2022-02,534,0.00022
2022-03,777,0.00029
2022-04,847,0.00033
2022-05,1129,0.00042
2022-06,1544,0.0006
2022-07,9479,0.00354
2022-08,8070,0.00301
2022-09,9512,0.00367
2022-10,15173,0.00566
2022-11,12790,0.00493
2022-12,12065,0.0045
2023-01,18069,0.00675
2023-02,14225,0.00588
2023-03,17117,0.00639
2023-04,10166,0.00392
2023-05,13642,0.00509
2023-06,24702,0.00953
2023-07,13704,0.00512
2023-08,16228,0.00606
2023-09,12871,0.00497
2023-10,20190,0.00754
2023-11,19333,0.00746
2023-12,10837,0.00405
2024-01,12622,0.00471
2024-02,15390,0.00614
2024-03,16607,0.0062
2024-04,14653,0.00565
2024-05,22555,0.00842
2024-06,13787,0.00532
2024-07,12415,0.00464
2024-08,7451,0.00278
2024-09,6503,0.00251
2024-10,9867,0.00368
2024-11,14672,0.00566
2024-12,13937,0.0052
2025-01,16906,0.00631
2025-02,15023,0.00621
2025-03,22530,0.00841
2025-04,13945,0.00538
2025-05,18133,0.00677
2025-06,30946,0.01194
2025-07,28799,0.01075
2025-08,38945,0.01454
2025-09,34356,0.01325
2025-10,28959,0.01081
2025-11,26256,0.01013
2025-12,16940,0.00632
2026-01,24778,0.00925
2026-02,19085,0.00789
2026-03,26435,0.00987
2026-04,24257,0.00936
2026-05,22687,0.00847
