month,sampled,mean_block_cost,blocks,actual_compute,offer_cost,share_pct
2022-10,120,478084975,51033,24398110513015,1646045416829,6.75
2022-11,120,329224277,138455,45582747209730,2754902561400,6.04
2022-12,120,365156051,143236,52303492078065,2665453974678,5.10
2023-01,120,349285233,143217,50023583251559,3586919935571,7.17
2023-02,120,189570277,129417,24533616489978,2904693130043,11.84
2023-03,120,429218028,142875,61324525698113,3956282633513,6.45
2023-04,120,125605294,138928,17450092241996,2117712058827,12.14
2023-05,120,418420949,143602,60086085057267,2965563686463,4.94
2023-06,120,478729052,138810,66452379661850,6083315929341,9.15
2023-07,120,292349004,143507,41954128578018,4234236731110,10.09
2023-08,120,375795072,143534,53939369829761,4214912925292,7.81
2023-09,120,341134659,138812,47353584289735,3701222966868,7.82
2023-10,120,230111787,147968,34049180853193,4910085365548,14.42
2023-11,120,298708014,140152,41864525545426,5064896399097,12.10
2023-12,120,1307340935,142867,186775877402315,2385629308196,1.28
2024-01,120,1936189670,143551,277941963294245,2713779799422,0.98
2024-02,120,999384573,134041,133958507615397,4015715685045,3.00
2024-03,120,520919090,142970,74475802278237,3929000298361,5.28
2024-04,120,252230988,138042,34818470094961,3577985617492,10.28
2024-05,120,148223840,142995,21195267991267,4749910544259,22.41
2024-06,120,150861188,140809,21242612974156,3085581987129,14.53
2024-07,120,84338260,142759,12040045626030,2693965395709,22.38
2024-08,120,74937894,142270,10661414162782,1624389195829,15.24
2024-09,120,41433778,137963,5716328247532,1483228014103,25.95
2024-10,120,50786414,142663,7245342218525,2420042897863,33.40
2024-11,120,67784050,138490,9387413082192,3141657467305,33.47
2024-12,120,56075601,143264,8033614968521,3013645684402,37.51
2025-01,120,78397936,143134,11221410133255,3352336886029,29.87
2025-02,120,96821476,128232,12415611455933,3200792184368,25.78
2025-03,120,113069274,143078,16177725579410,4417384292000,27.31
2025-04,120,263158052,138256,36383179598139,3033915210334,8.34
2025-05,120,52794980,142842,7541340578393,4221669316930,55.98
2025-06,120,91651016,138472,12691099437933,7128614236065,56.17
2025-07,120,110426473,142701,15757968187788,6001930029442,38.09
2025-08,120,77870568,142883,11126380403265,7633493463294,68.61
2025-09,120,71273941,138536,9874006729628,8138075948495,82.42
2025-10,120,65650615,142150,9332234904481,6390330422984,68.48
2025-11,120,59299201,138382,8205941975123,5594135367637,68.17
2025-12,120,52797268,142602,7528996039856,3533955522243,46.94
2026-01,120,79838644,142391,11368304287795,3993404129739,35.13
2026-02,120,59738801,129072,7710606491480,3805580149387,49.36
2026-03,120,110491911,142921,15791614360818,4819579918190,30.52
2026-04,120,110015878,137777,15157657648465,4181469506380,27.59
2026-05,120,122144067,104188,12725946029154,4065602265944,31.95
