month,min_h,max_h,blocks,offer_cost_clvm
2022-10,2709823,2760856,51033,1646045416829
2022-11,2760867,2899322,138455,2754902561400
2022-12,2899429,3042665,143236,2665453974678
2023-01,3042720,3185937,143217,3586919935571
2023-02,3186005,3315422,129417,2904693130043
2023-03,3315466,3458341,142875,3956282633513
2023-04,3458433,3597361,138928,2117712058827
2023-05,3597381,3740983,143602,2965563686463
2023-06,3741018,3879828,138810,6083315929341
2023-07,3879856,4023363,143507,4234236731110
2023-08,4023364,4166898,143534,4214912925292
2023-09,4166913,4305725,138812,3701222966868
2023-10,4305763,4453731,147968,4910085365548
2023-11,4453788,4593940,140152,5064896399097
2023-12,4593975,4736842,142867,2385629308196
2024-01,4736846,4880397,143551,2713779799422
2024-02,4880584,5014625,134041,4015715685045
2024-03,5014663,5157633,142970,3929000298361
2024-04,5157639,5295681,138042,3577985617492
2024-05,5295729,5438724,142995,4749910544259
2024-06,5438802,5579611,140809,3085581987129
2024-07,5579620,5722379,142759,2693965395709
2024-08,5722738,5865008,142270,1624389195829
2024-09,5865664,6003627,137963,1483228014103
2024-10,6003810,6146473,142663,2420042897863
2024-11,6146504,6284994,138490,3141657467305
2024-12,6284997,6428261,143264,3013645684402
2025-01,6428289,6571423,143134,3352336886029
2025-02,6571548,6699780,128232,3200792184368
2025-03,6699832,6842910,143078,4417384292000
2025-04,6843141,6981397,138256,3033915210334
2025-05,6981407,7124249,142842,4221669316930
2025-06,7124267,7262739,138472,7128614236065
2025-07,7262899,7405600,142701,6001930029442
2025-08,7405625,7548508,142883,7633493463294
2025-09,7548512,7687048,138536,8138075948495
2025-10,7687089,7829239,142150,6390330422984
2025-11,7829247,7967629,138382,5594135367637
2025-12,7967712,8110314,142602,3533955522243
2026-01,8110323,8252714,142391,3993404129739
2026-02,8252722,8381794,129072,3805580149387
2026-03,8381823,8524744,142921,4819579918190
2026-04,8524756,8662533,137777,4181469506380
2026-05,8662542,8766730,104188,4065602265944
